Utterance,Intended,Onglide,AlignmentWord,AlignmentVowel,TargetHeight,refL,Speaker,DurationOpeningGesture,DisplacementOpeningGesture,Vowel,PitchAccentConsensus,PitchAccentTranscriber1,PitchAccentTranscriber2,DifferenceType,RelativeAlignmentSyllable
FOC_HN210,broad,-8.09,-54.24,-135.7,1.83,86.95,M1,114.188,13.47,a,H+!H*,H+!H*,H+!H*,S,-0.23
FOC_HN212,narrow,10.68,226.07,112.04,10.92,87.97,M1,144.434,9.68,o,L+H*,L+H*,L+H*,S,0.92
FOC_HN213,contrastive,NA,243.19,158.84,6.74,87.77,M1,131.598,22.08,a,L+H*,H*,L+H*,HLH,0.92
FOC_HN216,narrow,3.04,156.48,42.74,10.68,90.54,M1,109.711,9.49,i,H*,H*,H*,S,0.73
FOC_HN219,broad,-5.48,-55.52,-157.69,4.38,88.49,M1,125.827,5.76,o,H+!H*,H+!H*,H+!H*,S,-0.24
FOC_HN22,narrow,6.98,199.97,101.91,13.31,87.53,M1,116.993,7.35,o,L+H*,L+H*,L+H*,S,0.96
FOC_HN220,contrastive,12.27,188.74,89.56,12.45,87.59,M1,101.456,8.74,i,L+H*,L+H*,L+H*,S,0.97
FOC_HN221,narrow,6.85,245.03,147.77,7.59,85.8,M1,135.349,20.08,a,L+H*,L+H*,L+H*,S,0.9
FOC_HN23,contrastive,10.64,235.8,132.36,11.02,86.42,M1,130.943,18.85,a,L+H*,L+H*,L+H*,S,0.89
FOC_HN26,narrow,13.42,197.03,94,13.04,87.21,M1,116.591,8.47,i,L+H*,L+H*,L+H*,S,0.92
FOC_HN29,broad,-5.35,-49.77,-151.19,4.1,84.53,M1,115.6,4.09,o,H+!H*,H+!H*,H+!H*,S,-0.25
FOC_HN30,contrastive,12.02,191.63,94.8,11.31,89.75,M1,96.789,7.78,i,L+H*,L+H*,L+H*,S,0.96
FOC_HN31,narrow,7.7,245.54,143.75,7.01,87.47,M1,128.537,19.79,a,L+H*,H*,L+H*,HLH,0.93
FOC_HN33,broad,-4.23,-78.12,-133.17,3.91,88.68,M1,92.523,7.1,i,H+!H*,H+!H*,H+!H*,S,-0.47
FOC_HN35,contrastive,11.96,237.72,130.1,11.61,88.6,M1,163.318,13.86,o,L+H*,L+H*,L+H*,S,0.88
FOC_HN36,broad,-7.65,-66.93,-154.48,0.98,89.29,M1,122.804,13.6,a,H+!H*,H+!H*,H+!H*,S,-0.29
FOC_HN38,narrow,5.53,192.03,74.74,9.95,89.62,M1,136.562,7.49,o,L+H*,L+H*,L+H*,S,0.84
FOC_HN39,contrastive,10.06,219.22,132.29,10.13,88.74,M1,130.302,20.7,a,L+H*,L+H*,L+H*,S,0.88
FOC_HN42,narrow,7.74,208.91,103.77,13.08,91.4,M1,117.005,11.6,i,L+H*,L+H*,L+H*,S,0.9
FOC_HN45,broad,-4.55,-48.81,-145.86,4.41,86.03,M1,101.498,6.35,o,H+!H*,H+!H*,H+!H*,S,-0.25
FOC_HN46,contrastive,11.75,188.74,96.33,11.64,89.94,M1,105.307,9.25,i,L+H*,L+H*,L+H*,S,0.89
FOC_HN48,narrow,8.73,214.06,125.91,19.18,74.2,M1,124.266,17.24,a,L+H*,NA,L+H*,M,1.05
FOC_HN50,broad,-2.86,-54.73,-139.9,6.7,87.24,M1,102.189,7.01,i,H+!H*,H+!H*,H+!H*,S,-0.28
FOC_HN52,contrastive,10.95,244.3,123.25,10.57,89.13,M1,160.109,10.66,o,L+H*,L+H*,L+H*,S,0.97
FOC_HN53,broad,-8.38,-52.59,-147.55,NA,NA,M1,121.087,13.88,a,H+!H*,H+!H*,H+!H*,S,-0.22
FOC_HN55,narrow,5.94,186.62,88.45,13.94,88.86,M1,128.272,8.17,o,L+H*,L+H*,L+H*,S,0.87
FOC_HN56,contrastive,7.93,250.79,149.7,7.46,90.3,M1,129.08,24.4,a,L+H*,H*,L+H*,HLH,0.92
FOC_HN59,narrow,10.34,203.33,117.06,10.38,90.69,M1,113.346,8.42,i,L+H*,L+H*,L+H*,S,0.95
FOC_HN62,broad,-3.8,-57.03,-142.3,5.45,89.21,M1,113.601,5.04,o,H+!H*,H+!H*,H+!H*,S,-0.29
FOC_HN63,contrastive,13.49,209.98,113.5,13.78,91.71,M1,122.715,9.77,i,L+H*,L+H*,L+H*,S,0.86
FOC_HN64,narrow,6.12,251.98,152.13,6.7,89.26,M1,131.681,15.97,a,L+H*,H*,L+H*,HLH,0.93
FOC_HN66,broad,-4.57,-53.2,-142.52,4.45,84.51,M1,100.042,6.4,i,H+!H*,H+!H*,H+!H*,S,-0.29
FOC_HN68,contrastive,12.19,204.63,113.37,11.97,88.17,M1,135.43,9.32,o,L+H*,L+H*,L+H*,S,0.92
FOC_HN69,broad,-7.76,-63,-144.62,1.17,89,M1,118.114,13.3,a,H+!H*,H+!H*,H+!H*,S,-0.26
FOC_HN71,narrow,12,208.9,110.47,12.08,88.13,M1,136.052,7.66,o,L+H*,L+H*,L+H*,S,0.94
FOC_HN72,contrastive,7.54,225.56,132.55,7.93,87.05,M1,122.594,17.58,a,L+H*,H*,L+H*,HLH,0.9
FOC_HN75,narrow,9.74,187.46,100.12,10.84,88.81,M1,105.536,9.32,i,L+H*,L+H*,L+H*,S,0.94
FOC_HN78,broad,-3.97,-49.16,-151.32,4.78,85.36,M1,113.461,4.59,o,H+!H*,H+!H*,H+!H*,S,-0.24
FOC_HN79,contrastive,NA,194.88,109.87,12.5,91.56,M1,112.662,10,i,L+H*,L+H*,L+H*,S,0.9
FOC_HN80,narrow,6.32,197.95,107.16,12.8,86.61,M1,119.126,12.5,a,L+H*,L+H*,L+H*,S,0.85
FOC_HN82,broad,-4.73,-58.79,-146.01,5.53,83.97,M1,102.622,6.49,i,H+!H*,H+!H*,H+!H*,S,-0.3
FOC_HN84,contrastive,13.26,220.48,121.25,13.43,86.96,M1,152.854,11.29,o,L+H*,L+H*,L+H*,S,0.88
FOC_HN85,broad,-8.28,-54.21,-135.56,1.62,84.8,M1,118.682,12.53,a,H+!H*,H+!H*,H+!H*,S,-0.25
FOC_HN87,narrow,8.94,190.11,86.06,15.43,85.61,M1,139.724,8.78,o,L+H*,L+H*,L+H*,S,0.84
FOC_HN88,contrastive,9.21,243.17,151.88,9.19,84.53,M1,128.422,22.63,a,L+H*,L+H*,L+H*,S,0.86
FOC_HN91,narrow,12.05,174.89,86.14,NA,NA,M1,96.981,7.38,i,L+H*,L+H*,L+H*,S,0.93
FOC_MB101,broad,1.88,150.16,72.21,6.84,103.29,M2,86.721,7.93,i,H*,H*,H+!H*,DH,0.89
FOC_MB103,contrastive,6.42,210.41,75.89,9.39,106.55,M2,143.471,5.83,o,L+H*,L+H*,L+H*,S,0.83
FOC_MB104,broad,1.98,240.61,142.96,6.18,105.74,M2,126.186,17.06,a,L+H*,H*,L+H*,HLH,0.99
FOC_MB106,narrow,4.21,230.13,107.84,8.79,109.36,M2,143.868,7.21,o,L+H*,L+H*,L+H*,S,0.94
FOC_MB107,contrastive,3.08,247.21,139.38,6.49,101.85,M2,131.653,18.67,a,L+H*,H*,L+H*,HLH,1
FOC_MB110,narrow,5.36,196.79,96.93,9.71,107.17,M2,99.392,10.22,i,L+H*,L+H*,L+H*,S,0.95
FOC_MB113,broad,2.56,202.05,103.92,6.33,108.07,M2,117.772,6.33,o,H*,H*,H+!H*,DH,0.94
FOC_MB114,contrastive,5.41,191.81,94.82,8.92,109.44,M2,108.487,10.1,i,L+H*,L+H*,L+H*,S,0.89
FOC_MB115,narrow,-0.002,259.56,157.22,NA,NA,M2,127.738,19.21,a,L+H*,H*,H+!H*,DH,1.02
FOC_MB119,contrastive,6.75,209.67,97.41,9.3,102.59,M2,129.797,8.42,o,L+H*,L+H*,L+H*,S,0.91
FOC_MB120,broad,-0.68,228.13,118.05,4.78,104.86,M2,130.709,17.46,a,H+!H*,H*,H+!H*,DH,0.89
FOC_MB122,narrow,2.57,204.9,111.63,7.67,102.79,M2,123.69,8.44,o,L+H*,H*,H+!H*,DH,0.96
FOC_MB123,contrastive,2.73,214.05,124.87,5.8,106.75,M2,124.431,17.13,a,L+H*,H*,L+H*,HLH,0.89
FOC_MB126,narrow,7.25,192.29,75.77,11.39,94.51,M2,97.422,9.64,i,L+H*,H*,L+H*,HLH,0.95
FOC_MB129,broad,1.19,256.6,118.37,6.81,101.7,M2,159.861,6.01,o,H*,H*,H+!H*,DH,1.03
FOC_MB130,contrastive,6.33,176.86,80.91,8.97,104.76,M2,105.48,11.83,i,L+H*,L+H*,L+H*,S,0.84
FOC_MB131,narrow,3.66,252.13,154.3,7.13,105.63,M2,137.269,18.6,a,L+H*,L+H*,L+H*,S,1
FOC_MB133,broad,3.39,191.62,98.7,8.4,104.49,M2,98.744,8.71,i,L+H*,H*,L+H*,HLH,1.02
